logL,rho_lerg,rho_lerg_nerr,rho_lerg_perr,N_lerg,rho_lerg_Q,rho_lerg_nerr_Q,rho_lerg_perr_Q,N_lerg_Q,rho_lerg_SF,rho_lerg_SF_nerr,rho_lerg_SF_perr,N_lerg_SF
24.45,nan,nan,nan,0,-5.31,0.09,0.09,64,nan,nan,nan,0
24.75,-4.7,0.04,0.04,581,-5.52,0.06,0.06,85,-4.77,0.04,0.04,496
25.05,-4.83,0.03,0.03,516,-5.79,0.06,0.05,57,-4.88,0.03,0.03,459
25.35,-5.08,0.03,0.03,314,-5.93,0.07,0.05,44,-5.14,0.03,0.03,270
25.65,-5.44,0.04,0.04,143,-6.37,0.09,0.09,17,-5.49,0.04,0.04,126
25.95,-5.66,0.05,0.05,89,-6.35,0.11,0.09,18,-5.76,0.06,0.05,71
26.25,-5.88,0.06,0.05,54,-6.53,0.15,0.11,12,-5.99,0.07,0.06,42
26.55,-6.08,0.08,0.07,34,-6.53,0.14,0.1,12,-6.27,0.11,0.09,22
26.85,-6.2,0.09,0.08,26,-6.66,0.2,0.14,9,-6.39,0.11,0.09,17
27.15,-6.34,0.1,0.1,19,-6.92,0.18,0.18,5,-6.48,0.11,0.09,14
27.45,-6.84,0.18,0.12,6,nan,nan,nan,0,-6.84,0.3,0.12,6
27.75,-6.67,0.18,0.12,9,-7.32,0.3,0.18,2,-6.78,0.24,0.12,7
28.05,-7.14,0.48,0.22,3,nan,nan,nan,0,-7.14,0.48,0.22,3
